Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
kyle-bay,2221,1041,40 to 59,KYLE BAY,,,740.0,1.96
la-perouse,2036,407,40 to 59,LA PEROUSE,,,,
lakemba,2195,17031,20 to 39,LAKEMBA,0.375,350.0,500.0,0.84
lalor-park,2147,7662,20 to 39,LALOR PARK,,340.0,390.0,0.6325
lane-cove,2066,10817,20 to 39,LANE COVE,0.757,530.0,770.0,2.115
lane-cove-north,2066,11442,20 to 39,LANE COVE NORTH,0.685,518.0,950.0,1.705
lane-cove-west,2066,2625,40 to 59,LANE COVE WEST,,,812.0244438149684,1.7155
lansdowne,2163,14,20 to 39,LANSDOWNE,,,,
lansvale,2166,2554,40 to 59,LANSVALE,,,520.0,0.675
laughtondale,2775,81,40 to 59,LAUGHTONDALE,,,,
lavender-bay,2060,956,20 to 39,LAVENDER BAY,0.9,550.0,,
leets-vale,2775,57,60+,LEETS VALE,,,,
leichhardt,2040,14625,20 to 39,LEICHHARDT,0.875,550.0,750.0,1.3
len-waters-estate,2171,0,,LEN WATERS ESTATE,,,,
leonay,2750,2503,40 to 59,LEONAY,,,490.0,0.7525
leppington,2179,3501,20 to 39,LEPPINGTON,,,540.0,0.76125
lethbridge-park,2770,4730,20 to 39,LETHBRIDGE PARK,,270.0,320.0,0.4345
leumeah,2560,9826,20 to 39,LEUMEAH,0.365,340.0,390.0,0.5825
lewisham,2049,3161,20 to 39,LEWISHAM,0.75,505.0,755.0,1.411
liberty-grove,2138,2254,20 to 39,LIBERTY GROVE,0.68,500.0,510.0,0.7603651158725006
lidcombe,2141,19620,20 to 39,LIDCOMBE,0.6465,510.0,560.0,0.92
lilli-pilli,2229,1378,40 to 59,LILLI PILLI,,,870.0,1.8
lilyfield,2040,7611,40 to 59,LILYFIELD,0.9225,480.0,810.0,1.58
lindfield,2070,9774,40 to 59,LINDFIELD,0.97,600.0,990.0,2.3875
linley-point,2066,352,40 to 59,LINLEY POINT,,,,
little-bay,2036,4474,20 to 39,LITTLE BAY,0.9525,700.0,1000.0,1.685
liverpool,2170,27107,20 to 39,LIVERPOOL,0.41,380.0,430.0,0.69
llandilo,2747,1640,40 to 59,LLANDILO,,,540.0,0.713
loftus,2232,4135,40 to 59,LOFTUS,,505.0,640.0,0.98
londonderry,2753,3896,40 to 59,LONDONDERRY,,315.0,460.0,0.6022429996518924
long-point,2564,188,60+,LONG POINT,,,,
longueville,2066,2082,40 to 59,LONGUEVILLE,,,1350.0,3.82
lovett-bay,2105,141,40 to 59,LOVETT BAY,,,,
lower-macdonald,2775,251,40 to 59,LOWER MACDONALD,,,465.6149641721634,0.62
lower-portland,2756,586,40 to 59,LOWER PORTLAND,,,,
lucas-heights,2234,0,60+,LUCAS HEIGHTS,,,,
luddenham,2745,1814,40 to 59,LUDDENHAM,,,560.0,1.3875
lugarno,2210,5616,40 to 59,LUGARNO,,,595.0,1.115
lurnea,2170,9333,20 to 39,LURNEA,0.5,390.0,445.0,0.62
macquarie-fields,2564,13728,20 to 39,MACQUARIE FIELDS,0.4,350.0,390.0,0.5525
macquarie-links,2565,1373,40 to 59,MACQUARIE LINKS,,,600.7952951144721,1.0475
