Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
strathfield-south,2136,3542,20 to 39,STRATHFIELD SOUTH,0.6,480.0,650.0,1.2031070412902034
summer-hill,2130,7315,20 to 39,SUMMER HILL,0.742,480.0,730.0,1.4585
surry-hills,2010,16408,20 to 39,SURRY HILLS,0.78,600.0,850.0,1.6525
sutherland,2232,10818,20 to 39,SUTHERLAND,0.58125,460.0,560.0,0.975
sydenham,2044,1149,20 to 39,SYDENHAM,,450.0,720.0,1.153
sydney,2000,17241,20 to 39,SYDNEY,1.02,780.0,1000.0,2.30996185483446
sydney-olympic-park,2127,0,,SYDNEY OLYMPIC PARK,0.715,543.0,,
sylvania-waters,2224,3159,40 to 59,SYLVANIA WATERS,0.649,480.0,925.0,1.65
sylvania,2224,10489,60+,SYLVANIA,0.823,480.0,725.0,1.17
tamarama,2026,1627,20 to 39,TAMARAMA,1.22503,813.0,1800.0,4.8399157143641895
taren-point,2229,1732,60+,TAREN POINT,,,745.0,1.295
telopea,2117,5426,20 to 39,TELOPEA,0.555,400.0,515.0,1.168
tempe,2044,3548,20 to 39,TEMPE,,460.0,660.0,1.085
ten-mile-hollow,2250,0,60+,TEN MILE HOLLOW,,,,
tennyson-point,2111,1227,40 to 59,TENNYSON POINT,,,1000.0,2.85
tennyson,2754,385,60+,TENNYSON,,,460.0,0.6022429996518924
terrey-hills,2084,3034,40 to 59,TERREY HILLS,,,940.0,1.42
the-rocks,2000,773,20 to 39,THE ROCKS,,,,
thornleigh,2120,8461,40 to 59,THORNLEIGH,0.87,510.0,600.0,1.0645
toongabbie,2146,14345,20 to 39,TOONGABBIE,0.555,440.0,450.0,0.769
tregear,2770,3885,20 to 39,TREGEAR,,,325.0,0.4295
turramurra,2074,11926,40 to 59,TURRAMURRA,0.865,570.0,850.0,1.865
turrella,2205,2522,20 to 39,TURRELLA,0.6825,580.0,600.0,1.0449849250695953
ultimo,2007,8831,20 to 39,ULTIMO,0.65775,600.0,800.0,1.6774733899520278
upper-colo,2756,60,40 to 59,UPPER COLO,,,,
upper-macdonald,2775,32,60+,UPPER MACDONALD,,,,
varroville,2566,106,60+,VARROVILLE,,,,
vaucluse,2030,9335,40 to 59,VAUCLUSE,1.11,680.0,1802.0,4.7555
villawood,2163,6026,20 to 39,VILLAWOOD,,353.0,490.0,0.69875
vineyard,2765,1175,60+,VINEYARD,,,555.0,0.902675020471048
voyager-point,2172,1674,40 to 59,VOYAGER POINT,,,595.2615973565999,1.03
wahroonga,2076,17367,40 to 59,WAHROONGA,0.84,550.0,900.0,1.8555
waitara,2077,5944,20 to 39,WAITARA,0.66,500.0,650.0,1.2031070412902034
wakeley,2176,4750,20 to 39,WAKELEY,,,450.0,0.72
wallacia,2745,1627,40 to 59,WALLACIA,,,430.0,0.5073697299195276
wareemba,2046,1555,40 to 59,WAREEMBA,,600.0,700.0,1.8725
warrawee,2074,2982,40 to 59,WARRAWEE,0.896,560.0,1075.0,3.23
warriewood,2102,7497,40 to 59,WARRIEWOOD,0.8725,700.0,970.0,1.46
warwick-farm,2170,5867,20 to 39,WARWICK FARM,0.34,350.0,400.0,0.41249646018716274
waterfall,2233,483,40 to 59,WATERFALL,,,,
waterloo,2017,14619,20 to 39,WATERLOO,0.83,680.0,745.0,1.0
watsons-bay,2030,853,40 to 59,WATSONS BAY,,800.0,,
wattle-grove,2173,8960,20 to 39,WATTLE GROVE,,,520.0,0.79
waverley,2024,4349,20 to 39,WAVERLEY,0.805,606.0,1158.0,2.06
waverton,2060,3010,20 to 39,WAVERTON,1.075,640.0,1125.0,3.0425
webbs-creek,2775,45,60+,WEBBS CREEK,,,,
wedderburn,2560,627,40 to 59,WEDDERBURN,,,,
wentworth-point,2127,6984,20 to 39,WENTWORTH POINT,0.655,540.0,560.0,0.9184872320931087
wentworthville,2145,11325,20 to 39,WENTWORTHVILLE,0.575,440.0,480.0,0.9
werrington-county,2747,3642,20 to 39,WERRINGTON COUNTY,,,425.0,0.61
werrington-downs,2747,3240,20 to 39,WERRINGTON DOWNS,,,450.0,0.61
werrington,2747,4028,20 to 39,WERRINGTON,0.4,330.0,470.0,0.61
west-hoxton,2171,10015,40 to 59,WEST HOXTON,,490.0,535.0,0.772
west-pennant-hills,2125,16367,40 to 59,WEST PENNANT HILLS,,400.0,650.0,1.482
west-pymble,2073,5305,40 to 59,WEST PYMBLE,,,895.0,1.65444
west-ryde,2114,13397,20 to 39,WEST RYDE,0.58225,395.0,570.0,1.4
westleigh,2120,4463,40 to 59,WESTLEIGH,,,700.0,1.233
westmead,2145,16306,20 to 39,WESTMEAD,0.52,445.0,450.0,0.891
wetherill-park,2164,6147,20 to 39,WETHERILL PARK,,450.0,495.0,0.7335
whalan,2770,5962,20 to 39,WHALAN,,280.0,340.0,0.46
whale-beach,2107,0,,WHALE BEACH,,,1280.0,3.65
wheeler-heights,2097,0,,WHEELER HEIGHTS,,528.0,860.0,1.4305
wheeny-creek,2758,20,40 to 59,WHEENY CREEK,,,,
wilberforce,2756,3001,40 to 59,WILBERFORCE,,,455.0,0.815
wiley-park,2195,10127,20 to 39,WILEY PARK,0.38,350.0,500.0,0.745
willmot,2770,2445,5 to 19,WILLMOT,,,310.0,0.4
willoughby-east,2068,1818,40 to 59,WILLOUGHBY EAST,,,1063.2543220223702,2.51
willoughby,2068,6542,40 to 59,WILLOUGHBY,0.9245,540.0,945.0,2.12
windsor-downs,2756,1183,40 to 59,WINDSOR DOWNS,,,,
windsor,2756,1900,40 to 59,WINDSOR,0.41,295.0,400.0,0.65
winston-hills,2153,11694,40 to 59,WINSTON HILLS,0.6725,475.0,550.0,0.935
wisemans-ferry,2775,229,40 to 59,WISEMANS FERRY,,,,
wolli-creek,2205,6387,20 to 39,WOLLI CREEK,0.72,600.0,,
wollstonecraft,2065,8323,20 to 39,WOLLSTONECRAFT,1.0075,600.0,1200.0,2.9424503197168925
womerah,2756,0,60+,WOMERAH,,,,
woodbine,2560,2750,20 to 39,WOODBINE,,,380.0,0.63
woodcroft,2767,6448,20 to 39,WOODCROFT,,530.0,480.0,0.65
woodpark,2164,1519,20 to 39,WOODPARK,,,578.0,0.691
woollahra,2025,7414,20 to 39,WOOLLAHRA,1.1775,690.0,1450.0,3.1
woolloomooloo,2011,4014,20 to 39,WOOLLOOMOOLOO,1.1465,650.0,755.0,1.5351634853534804
woolooware,2230,3967,40 to 59,WOOLOOWARE,0.66875,515.0,850.0,1.555
woolwich,2110,814,60+,WOOLWICH,,450.0,1714.9658122495005,4.571
woronora,2232,2193,40 to 59,WORONORA,,,650.0,1.155
woronora-dam,2508,0,60+,WORONORA DAM,,,,
woronora-heights,2233,2870,40 to 59,WORONORA HEIGHTS,,,601.6174444956416,1.0501
wrights-creek,2775,19,40 to 59,WRIGHTS CREEK,,,,
yagoona,2199,18014,20 to 39,YAGOONA,0.495,430.0,500.0,0.7955
yarramundi,2753,828,40 to 59,YARRAMUNDI,,,,
yarrawarrah,2233,2726,40 to 59,YARRAWARRAH,,,588.6211600471531,1.009
yennora,2161,1616,60+,YENNORA,,440.0,400.0,0.41249646018716274
yowie-bay,2228,3095,40 to 59,YOWIE BAY,,,820.0,1.67
zetland,2017,10071,20 to 39,ZETLAND,0.87875,735.0,978.0,1.32
